gene,D02,D14,Sham
Abcb1a,0.7003936726235559,1.268677308037677,1.0543009957954108
Abcg2,0.5175889245368225,0.545615892039185,0.43136332584725573
Aif1,1.2194610857303936e-15,4.5755439949988476e-11,0.003253721019861057
Aqp4,0.0,0.0,0.0
Cav1,0.24380805825796595,0.23624529624941318,0.1742101055181043
Cdh5,0.2364959138761667,0.1750939668462646,0.12979803521362776
Cldn5,2.2773356460103513,2.9051115447281055,1.8130871521462397
Flt1,1.591763588527433,2.360281432141401,2.0610945930041007
Gfap,0.0004220719077308442,0.0,0.0
Kdr,0.3307038623040213,0.3346535578307465,0.20108801749385716
Mfsd2a,0.0806556554445772,0.1586472095572875,0.09987187313168473
Pdgfrb,0.0011324838238303003,0.0,0.0
Pecam1,0.7779820011163301,0.471583560570925,0.3777299019439422
Plvap,0.05198196286324584,0.053137377600972965,0.03887527824253133
Ptprc,5.713149596509351e-17,0.0021859211273871663,0.0021971262487396758
Rgs5,0.09811499003432451,0.1657289228271484,0.14374312660389016
Slc2a1,0.9418845942729277,0.6113080764041694,0.6223895452721188
Slc7a5,0.07360031651321908,0.13615566346670235,0.09294074409393582
Tek,0.26115844544905603,0.3557952663878762,0.23425372152926838
Tfrc,0.14725125978161233,0.34436530211995314,0.2224963970492154
Vwf,0.21983135080207056,0.07246424045330525,0.06597944916387304
